gen,code,thai_1,thai_2,thai_3,thai_4,thai_5,thai_6,english_basic_1,english_basic_2,english_basic_3,english_basic_4,english_basic_5,english_basic_6,english_add_1,english_add_2,english_add_3,english_add_4,english_add_5,english_add_6,math_basic_1,math_basic_2,math_basic_3,math_basic_4,math_basic_5,math_basic_6,math_add_1,math_add_2,math_add_3,math_add_4,math_add_5,math_add_6,science_1,science_2,science_3,science_4,science_5,science_6,physics_1,physics_2,physics_3,physics_4,physics_5,physics_6,chemistry_1,chemistry_2,chemistry_3,chemistry_4,chemistry_5,chemistry_6,biology_1,biology_2,biology_3,biology_4,biology_5,biology_6,computer_1,computer_2,computer_3,computer_4,computer_5,computer_6,robot_1,robot_2,robot_3,robot_4,robot_5,robot_6,project_1,project_2,project_3,project_4,project_5,project_6,social1_1,social1_2,social1_3,social1_4,social1_5,social1_6,social2_1,social2_2,social2_3,social2_4,social2_5,social2_6,health_1,health_2,health_3,health_4,health_5,health_6,pe_1,pe_2,pe_3,pe_4,pe_5,pe_6,art_1,art_2,art_3,art_4,art_5,art_6,career_1,career_2,career_3,career_4,career_5,career_6,credits_studied_1,credits_studied_2,credits_studied_3,credits_studied_4,credits_studied_5,credits_studied_6,credits_earned_1,credits_earned_2,credits_earned_3,credits_earned_4,credits_earned_5,credits_earned_6,gpa_1,gpa_2,gpa_3,gpa_4,gpa_5,gpa_6
,07061,4,4,-,-,-,-,2,2.5,-,-,-,-,2,3,-,-,-,-,4,3.5,-,-,-,-,3.5,2.5,-,-,-,-,4,4,-,-,-,-,2.5,3,-,-,-,-,2.5,3,-,-,-,-,3,3.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.41,3.48,-,-,-,-
,07062,4,4,-,-,-,-,3.5,3.5,-,-,-,-,3.5,3.5,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,3.5,4,-,-,-,-,4,3.5,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.83,3.89,-,-,-,-
,07160,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,3,3.5,-,-,-,-,4,4,-,-,-,-,4,3.5,-,-,-,-,4,3.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,3.5,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.91,3.85,-,-,-,-
,07196,4,4,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,3.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.93,3.95,-,-,-,-
,07224,3.5,3,-,-,-,-,2.5,3,-,-,-,-,3.5,3.5,-,-,-,-,4,2.5,-,-,-,-,3,3.5,-,-,-,-,3,4,-,-,-,-,3.5,3,-,-,-,-,2,1.5,-,-,-,-,2,2,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,2.5,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.34,3.22,-,-,-,-
,09615,3.5,3,-,-,-,-,2,3,-,-,-,-,2.5,3,-,-,-,-,4,2.5,-,-,-,-,2.5,2.5,-,-,-,-,2,3.5,-,-,-,-,3,2.5,-,-,-,-,2.5,1,-,-,-,-,2,2.5,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,-,-,-,-,-,3.5,4,-,-,-,-,4,4,-,-,-,-,4,4,-,-,-,-,4,2,-,-,-,-,4,4,-,-,-,-,3.5,4,-,-,-,-,19.5,18.5,-,-,-,-,19.5,18.5,-,-,-,-,3.11,3.01,-,-,-,-
skt12,06167,2.5,2,3,3,-,-,1,1.5,2.5,2,-,-,3.5,3,3,2.5,-,-,2.5,1.5,2,2.5,-,-,3.5,1,1.5,2,-,-,2,1,1.5,3,-,-,2,1.5,2.5,2.5,-,-,1,1,2,3,-,-,1.5,1,3.5,1.5,-,-,4,3.5,3.5,4,-,-,4,3.5,2.5,4,-,-,4,-,-,-,-,-,3,3,3,3,-,-,3,3.5,3,2.5,-,-,4,4,4,4,-,-,4,4,4,4,-,-,2.5,3.5,4,4,-,-,4,3.5,3,-,-,-,19.5,18.5,18.5,18.5,-,-,19.5,18.5,18.5,18.5,-,-,2.73,2.14,2.70,2.89,-,-
,06229,3.5,2.5,3,2.5,-,-,3,3,3.5,3.5,-,-,3.5,4,4,3,-,-,4,4,4,4,-,-,3,3,4,4,-,-,3,2,2.5,4,-,-,3.5,3.5,3.5,2.5,-,-,1,3,3.5,3,-,-,0,2,3,3,-,-,4,4,4,4,-,-,4,3.5,4,4,-,-,4,-,-,-,-,-,3.5,4,3.5,3,-,-,3.5,2.5,3.5,2.5,-,-,4,4,4,4,-,-,3,2.5,4,4,-,-,2,3.5,4,3,-,-,4,4,4,-,-,-,19.5,18.5,18.5,18.5,-,-,18,18.5,18.5,18.5,-,-,3.03,3.20,3.85,3.39,-,-
,06304,1.5,2.5,2.5,3.5,-,-,3,3,3,3.5,-,-,3.5,4,4,3.5,-,-,4,4,4,4,-,-,4,4,4,4,-,-,2.5,3.5,3,4,-,-,4,4,4,3.5,-,-,1,4,4,4,-,-,3.5,1.5,3.5,2,-,-,4,4,4,4,-,-,4,3.5,3.5,4,-,-,4,-,-,-,-,-,3.5,2.5,4,4,-,-,3,3,3,1.5,-,-,4,4,4,4,-,-,3.5,4,4,4,-,-,3.5,3,4,4,-,-,4,4,3.5,-,-,-,19.5,18.5,18.5,18.5,-,-,19.5,18.5,18.5,18.5,-,-,3.33,3.45,3.67,3.63,-,-
,06347,3.5,2,1.5,2.5,-,-,3.5,3.5,4,4,-,-,4,4,4,3.5,-,-,3.5,3,2,2.5,-,-,2.5,1,2,1.5,-,-,2.5,3.5,3,3.5,-,-,2,2,2,2,-,-,1,1,2,2,-,-,1.5,1,2.5,3,-,-,3.5,4,3.5,4,-,-,4,3,4,3.5,-,-,4,-,-,-,-,-,4,2.5,3.5,3.5,-,-,3.5,3,3,1.5,-,-,4,3,4,4,-,-,4,2.5,4,4,-,-,2.5,3.5,4,4,-,-,4,3.5,3.5,-,-,-,19.5,18.5,18.5,18.5,-,-,19.5,18.5,18.5,18.5,-,-,2.96,2.56,2.87,3.00,-,-
